LAMMPS data file, Author: Jerry Qin

1000 atoms
0 bonds
0 angles

2 atom types

-200.0 6200 xlo xhi
-200.0 6200 ylo yhi
-200.0 6200 zlo zhi

Masses

1 221851
2 422051

Atoms

1 1  5086.333 1373.663 2452.919
2 1  937.115 3373.053 83.318
3 1  2150.833 1306.785 3363.502
4 1  364.593 2530.888 1706.324
5 1  0.000 986.081 3110.732
6 1  1898.764 656.679 1064.126
7 1  1300.561 5554.862 5217.982
8 1  2724.148 1749.436 0.007
9 1  560.742 2677.711 2597.420
10 1  144.792 2197.222 0.046
11 1  185.702 5770.938 4121.231
12 1  3941.718 2658.637 1497.057
13 1  1957.878 4574.884 3317.336
14 1  3453.477 3546.222 3430.913
15 1  1625.930 4690.338 1818.626
16 1  4649.768 2808.758 1388.361
17 1  3180.963 4474.592 3482.527
18 1  822.957 4317.949 1642.270
19 1  4040.644 4983.605 2954.243
20 1  653.648 640.908 2042.392
21 1  1857.648 2316.629 3443.280
22 1  4759.388 2669.913 2020.445
23 1  1152.674 2558.207 2369.097
24 1  2871.251 3087.967 4840.863
25 1  546.624 5999.962 4870.194
26 1  5999.974 4360.685 4092.158
27 1  3693.971 5601.069 1589.472
28 1  3329.291 1963.172 1277.241
29 1  4984.005 3302.925 227.584
30 1  466.151 337.157 1588.627
31 1  3077.580 2815.503 4246.976
32 1  2589.936 5734.527 5357.906
33 1  1153.577 1397.675 769.241
34 1  1842.402 405.501 1075.399
35 1  4766.272 1497.900 690.905
36 1  2161.965 346.190 234.941
37 1  0.000 1788.126 692.950
38 1  347.369 466.081 246.135
39 1  173.766 731.073 1116.004
40 1  1789.991 1490.398 1143.519
41 1  158.186 502.652 264.725
42 1  570.371 1056.936 842.641
43 1  176.639 823.015 86.626
44 1  711.067 1044.782 94.705
45 1  1868.951 1710.548 483.561
46 1  678.396 1092.654 745.993
47 1  626.844 138.761 87.947
48 1  194.227 933.467 440.281
49 1  6.832 493.992 289.381
50 1  1014.856 1158.129 1697.034
51 1  1330.690 4709.725 3405.966
