LAMMPS data file, Author: Jerry Qin

1000 atoms
0 bonds
0 angles

2 atom types

-100.0 5100 xlo xhi
-100.0 5100 ylo yhi
-100.0 5100 zlo zhi

Masses

1 221851
2 422051

Atoms

1 1  906.141 4136.480 2267.850
2 1  1058.720 1950.038 0.000
3 1  3795.928 4999.116 529.533
4 1  3277.821 772.543 1741.153
5 1  3308.683 1758.857 2326.296
6 1  1269.758 1032.673 0.000
7 1  891.394 2012.953 1402.118
8 1  3440.604 0.178 161.933
9 1  2078.288 342.654 5000.000
10 1  4998.175 2879.257 2626.269
11 1  2573.489 2817.189 1264.290
12 1  446.129 2061.603 1932.465
13 1  2256.425 803.979 0.000
14 1  4346.220 3476.655 2876.002
15 1  2254.850 123.256 1016.828
16 1  390.789 3327.595 1070.380
17 1  2574.025 4976.809 3365.004
18 1  3771.591 2255.785 3261.120
19 1  10.129 4778.580 186.295
20 1  2968.626 3414.760 2832.725
21 1  816.597 1897.190 1361.340
22 1  2005.477 2402.566 2250.636
23 1  2378.347 833.253 153.169
24 1  760.354 2878.020 1173.179
25 1  0.366 2475.611 1384.544
26 1  1947.368 3145.724 809.643
27 1  1463.794 1737.273 1554.027
28 1  511.616 1297.453 3760.544
29 1  2792.589 1878.365 425.040
30 1  1584.990 2643.502 1177.133
31 1  1512.311 3759.146 524.122
32 1  2009.764 4299.699 986.608
33 1  272.963 746.220 144.362
34 1  4539.235 1147.799 1082.818
35 1  454.604 1355.321 309.459
36 1  1086.534 1569.746 167.529
37 1  3366.035 3408.290 2003.249
38 1  2235.025 2945.724 1120.633
39 1  175.053 163.724 980.182
40 1  0.000 1587.685 1807.261
41 1  675.437 790.276 730.948
42 1  288.714 182.044 694.030
43 1  411.914 584.643 557.485
44 1  1606.975 2298.872 2943.073
45 1  1515.257 1164.430 462.094
46 1  2170.560 2723.434 1286.550
47 1  2227.763 1562.488 1771.820
48 1  459.717 146.006 360.376
49 1  276.276 1327.052 859.244
50 1  566.070 1266.602 911.790
51 1  1226.180 125.439 1306.826
52 1  137.976 1005.467 363.526
53 1  414.840 1228.138 400.263
54 1  0.001 1527.731 1574.503
55 1  227.221 323.550 692.488
56 1  0.000 1669.867 524.387
57 1  3231.844 61.905 16.643
58 1  1198.974 661.042 324.802
59 1  0.000 687.672 1325.042
60 1  880.740 1082.244 499.913
61 1  1300.102 947.431 538.242
62 1  0.678 4999.951 2456.800
63 1  996.515 724.268 227.985
64 1  331.720 356.488 719.158
65 1  134.578 758.916 834.812
66 1  4.572 77.647 948.959
67 1  699.264 368.976 935.087
68 1  1307.343 757.268 2497.176
69 1  699.935 1245.921 319.377
70 1  1184.010 603.642 157.164
71 1  429.859 2122.876 178.674
72 1  1029.476 111.890 837.682
73 1  981.242 1661.070 186.572
74 1  1614.817 1162.664 607.336
75 1  617.812 820.916 252.111
76 1  769.565 608.126 315.920
77 1  53.098 669.116 561.259
78 1  1118.511 890.794 1213.839
79 1  613.550 959.950 419.322
80 1  29.453 367.807 2442.146
81 1  687.610 868.578 475.452
82 1  955.819 703.182 1378.919
83 1  225.877 277.912 242.759
84 1  295.459 700.205 636.204
85 1  937.202 154.067 759.136
86 1  910.753 737.448 378.754
87 1  702.241 384.118 571.636
88 1  1573.512 53.068 2361.246
89 1  0.000 380.828 696.934
90 1  639.118 1023.478 509.172
91 1  541.581 196.533 1003.970
92 1  448.906 479.308 1045.269
93 1  451.172 151.182 26.983
94 1  1185.266 640.532 22.717
95 1  105.987 151.075 138.638
96 1  94.711 3866.751 29.058
97 1  558.776 376.667 1250.068
98 1  1118.599 443.880 276.855
99 1  40.691 1574.296 138.267
100 1  295.325 1043.280 831.622
101 1  566.358 441.475 688.663
102 1  1595.540 4736.799 1892.869
103 1  388.803 132.955 158.558
104 1  666.548 519.927 568.131
105 1  483.854 1171.387 1057.570
106 1  116.040 416.908 920.003
107 1  313.286 636.368 544.669
108 1  286.611 636.574 39.272
109 1  392.153 487.858 299.467
110 1  1423.531 74.210 301.103
111 1  70.961 548.580 589.232
112 1  669.166 1122.876 161.159
113 1  598.035 1366.993 497.419
114 1  550.763 1026.377 1237.724
115 1  960.033 130.999 1154.590
116 1  876.587 560.794 12.872
117 1  11.764 1098.146 246.530
118 1  897.379 522.139 853.464
119 1  893.914 790.023 0.000
120 1  1997.099 822.340 2316.399
121 1  146.425 908.356 146.892
122 1  524.276 434.439 511.550
123 1  1034.842 755.480 1215.494
124 1  1340.819 4666.844 274.730
125 1  2888.632 4987.282 1964.472
126 1  238.377 497.716 296.416
127 1  2567.839 1920.679 3031.388
128 1  422.545 2037.318 1205.674
129 1  514.113 669.421 561.591
130 1  786.572 900.750 708.386
131 1  1283.991 1079.640 514.200
132 1  157.706 1294.014 522.287
133 1  418.864 1067.333 402.369
134 1  3041.550 10.229 2299.357
135 1  410.062 644.495 46.087
136 1  2477.507 2086.764 273.287
137 1  662.302 262.247 1602.111
138 1  241.571 446.840 78.054
139 1  214.170 1332.312 375.106
140 1  1388.273 394.868 0.000
141 1  342.174 3226.366 2977.056
142 1  636.439 593.995 204.169
143 1  661.855 80.445 699.245
144 1  1160.254 380.960 1039.885
145 1  945.779 92.422 304.993
146 1  4554.212 1871.884 3195.928
147 1  927.388 1215.140 963.228
148 1  848.009 393.803 351.627
149 1  1662.510 1156.784 707.751
150 1  216.791 249.310 407.872
151 1  1381.874 2855.567 3589.996
152 1  684.791 912.630 634.031
153 1  0.000 269.066 473.694
154 1  277.265 158.584 113.839
155 1  4219.388 3736.519 2994.295
156 1  56.982 380.450 478.329
157 1  553.132 174.700 414.141
158 1  95.712 365.280 814.095
159 1  0.000 1649.567 0.000
160 1  748.299 600.552 469.557
161 1  2.644 1362.784 822.601
162 1  474.258 206.948 719.450
163 1  60.414 1796.590 0.000
164 1  0.000 144.809 769.474
165 1  4567.776 2462.785 3541.092
166 1  603.797 783.304 911.985
167 1  1297.754 1782.570 1085.070
168 1  692.709 753.013 1113.141
169 1  1951.521 1447.634 926.517
170 1  0.000 1070.418 667.944
171 1  907.580 727.192 594.538
172 1  0.000 142.181 460.702
173 1  430.529 290.274 556.597
174 1  256.323 212.529 868.242
175 1  216.657 780.551 761.739
176 1  1897.476 702.929 162.207
177 1  1260.640 1928.660 2888.258
178 1  1009.218 740.793 462.219
179 1  507.631 1255.689 1172.154
180 1  1394.389 646.718 464.341
181 1  265.475 485.173 179.279
182 1  1026.419 1149.571 854.600
183 1  299.872 469.621 444.784
184 1  644.595 1214.302 2574.413
185 1  239.200 294.123 530.757
186 1  1528.304 4119.242 1918.905
187 1  141.856 249.515 751.067
188 1  692.450 325.143 1148.671
189 1  3622.931 3356.901 3228.476
190 1  898.243 67.847 2081.170
191 1  693.713 125.448 807.702
192 1  1185.776 4036.284 1501.340
193 1  587.360 317.896 524.844
194 1  254.033 707.121 326.748
195 1  4844.330 3031.333 2375.868
196 1  795.176 670.849 139.010
197 1  387.667 1354.334 591.151
198 1  422.360 942.702 728.935
199 1  1111.118 750.362 1348.604
200 1  417.982 73.653 748.665
201 1  1779.686 2162.448 122.410
202 1  233.082 635.268 469.386
203 1  875.109 1098.931 227.406
204 1  21.080 2122.176 3.251
205 1  454.657 373.309 437.820
206 1  407.292 1746.153 1506.695
207 1  1842.124 3620.238 1686.849
208 1  798.665 2453.174 1511.473
209 1  1050.182 143.219 715.958
210 1  575.052 1301.198 46.617
211 1  0.000 1520.798 0.000
212 1  1259.369 2032.618 1343.361
213 1  384.691 518.994 128.225
214 1  171.465 139.864 871.027
215 1  236.929 660.387 209.210
216 1  843.490 803.113 890.303
217 1  974.285 0.986 1611.864
218 1  1730.742 104.213 1357.567
219 1  250.916 0.000 2224.939
220 1  379.603 464.472 1554.985
221 1  767.545 540.971 24.986
222 1  906.722 960.880 0.000
223 1  250.263 530.654 4.222
224 1  765.154 652.474 1049.156
225 1  960.250 1605.978 1211.698
226 1  1561.412 131.356 159.375
227 1  590.560 328.154 265.488
228 1  521.053 106.015 696.155
229 1  382.917 0.006 836.171
230 1  273.914 1158.039 796.524
231 1  765.877 983.324 119.606
232 1  735.155 1267.460 1335.405
233 1  301.899 941.906 177.366
234 1  114.512 286.267 445.232
235 1  1102.081 1004.326 921.915
236 1  328.987 517.502 1284.489
237 1  601.593 927.107 550.473
238 1  2582.317 1453.097 1592.715
239 1  2254.341 1502.155 345.330
240 1  1488.456 2839.921 145.204
241 1  983.771 0.000 241.562
242 1  677.537 291.646 208.580
243 1  852.173 789.203 699.369
244 1  2786.108 1083.136 1552.349
245 1  682.629 844.743 1526.626
246 1  299.273 694.963 1268.042
247 1  436.608 600.244 287.883
248 1  879.400 1742.277 6.165
249 1  1017.704 147.984 483.362
250 1  747.691 1233.597 4.610
251 1  363.106 131.806 519.754
252 1  222.374 2661.976 2520.225
253 1  719.157 752.052 496.341
254 1  72.375 94.400 1037.548
255 1  1261.253 0.000 1134.615
256 1  203.833 1438.943 1.418
257 1  534.802 898.933 1006.271
258 1  1936.743 554.945 1911.715
259 1  841.112 890.570 134.787
260 1  2223.556 401.624 0.000
261 1  724.681 863.689 347.543
262 1  1141.161 4172.376 646.140
263 1  903.771 4258.401 1568.968
264 1  1533.348 1304.765 526.662
265 1  2610.686 1406.986 3285.783
266 1  1898.448 300.643 776.751
267 1  0.000 547.119 2405.219
268 1  634.430 676.619 529.753
269 1  971.709 788.526 125.904
270 1  2389.104 343.846 272.593
271 1  336.161 782.424 254.466
272 1  536.065 1045.161 572.597
273 1  3.500 1554.471 578.944
274 1  2431.023 736.921 4982.000
275 1  876.333 1732.265 180.821
276 1  364.083 1741.100 2824.625
277 1  629.168 1357.189 846.571
278 1  625.803 1141.411 642.248
279 1  1851.464 1070.336 431.351
280 1  596.955 480.166 801.723
281 1  486.723 505.211 591.036
282 1  523.693 278.834 1213.555
283 1  561.185 634.559 743.357
284 1  1098.883 3813.222 620.872
285 1  1493.286 619.272 564.873
286 1  369.630 209.345 354.725
287 1  1381.561 383.885 410.615
288 1  680.691 195.837 1341.087
289 1  1231.707 1136.384 6.273
290 1  48.593 830.657 1038.718
291 1  899.014 102.700 204.045
292 1  1342.659 767.723 779.186
293 1  2101.618 1404.455 889.119
294 1  143.908 334.639 349.496
295 1  634.091 651.055 346.206
296 1  1035.887 858.167 590.046
297 1  461.310 824.213 431.688
298 1  1097.641 1061.979 185.771
299 1  622.779 369.703 0.000
300 1  515.881 875.492 868.796
301 1  1446.138 1113.292 706.719
302 1  1304.424 350.334 1098.587
303 1  1575.295 1864.252 1957.122
304 1  0.000 1276.125 363.451
305 1  823.076 689.362 1142.287
306 1  2424.325 14.251 3401.209
307 1  306.189 793.497 409.639
308 1  197.768 1008.517 167.846
309 1  1357.393 676.000 0.000
310 1  548.181 778.430 150.035
311 1  1015.647 594.541 197.173
312 1  1075.892 837.451 919.680
313 1  259.902 991.757 367.278
314 1  378.199 181.383 621.356
315 1  1196.878 15.751 3785.255
316 1  142.952 355.541 554.825
317 1  1061.945 436.435 1155.445
318 1  1044.095 599.621 1383.644
319 1  1682.410 29.120 2423.316
320 1  1124.663 1173.369 449.174
321 1  1265.288 153.863 981.499
322 1  850.164 829.337 322.056
323 1  1066.191 90.196 97.007
324 1  1092.062 411.741 1332.093
325 1  938.055 849.697 662.820
326 1  983.942 164.406 586.796
327 1  762.746 419.268 257.018
328 1  500.403 918.284 0.000
329 1  545.626 871.485 375.353
330 1  2012.896 4411.431 1034.206
331 1  1784.464 1397.634 158.978
332 1  327.879 339.958 324.577
333 1  780.601 74.625 729.111
334 1  1373.399 3428.834 1487.373
335 1  187.892 1721.932 1775.273
336 1  2470.631 5000.000 1037.454
337 1  0.000 252.003 800.690
338 1  329.862 361.615 971.302
339 1  0.000 1441.500 600.793
340 1  1400.154 981.456 246.932
341 1  939.856 680.969 1057.714
342 1  885.956 208.363 1195.926
343 1  977.851 426.465 830.889
344 1  0.000 489.051 1124.875
345 1  26.395 789.510 655.230
346 1  1621.092 13.584 354.140
347 1  847.099 187.534 953.122
348 1  531.661 2439.849 2258.115
349 1  767.808 0.000 1318.277
350 1  397.300 414.256 536.980
351 1  774.753 1160.475 276.624
352 1  1322.497 0.000 629.280
353 1  52.368 999.954 2867.347
354 1  2031.331 1303.242 255.059
355 1  1054.136 296.395 38.368
356 1  682.151 0.000 23.573
357 1  951.000 810.846 1030.779
358 1  949.591 185.524 136.422
359 1  4.163 3924.763 2.465
360 1  52.661 727.077 1664.277
361 1  51.787 1290.833 0.263
362 1  1854.852 2962.465 47.495
363 1  138.151 651.567 633.452
364 1  1222.373 363.006 795.272
365 1  781.419 0.000 1579.802
366 1  1611.755 354.221 602.775
367 1  887.764 3888.078 2477.725
368 1  202.697 408.203 784.457
369 1  2751.091 1937.500 2.828
370 1  719.647 719.865 292.916
371 1  1392.430 0.000 525.921
372 1  394.086 585.569 1098.627
373 1  352.792 224.900 37.641
374 1  273.727 606.450 1406.431
375 1  1827.745 99.549 238.411
376 1  514.561 2756.519 360.695
377 1  1511.577 1151.204 335.640
378 1  743.947 796.545 639.861
379 1  4456.987 4330.733 4999.789
380 1  819.031 642.945 544.473
381 1  1861.249 2472.640 2827.664
382 1  1121.651 515.030 10.044
383 1  343.363 1012.300 1954.358
384 1  388.630 898.482 1658.527
385 1  709.588 316.507 1263.568
386 1  1342.047 3927.560 1437.016
387 1  288.153 1175.758 4034.209
388 1  315.934 124.010 1056.491
389 1  1444.506 2646.703 1601.004
390 1  0.233 0.587 1136.574
391 1  808.227 488.602 546.811
392 1  1146.067 209.436 647.313
393 1  1196.260 1632.766 4297.135
394 1  480.786 1369.496 526.571
395 1  4127.679 1621.213 64.439
396 1  210.840 864.625 438.266
397 1  222.025 761.646 44.720
398 1  1178.660 0.000 465.464
399 1  694.783 533.936 387.273
400 1  369.514 958.473 45.919
401 1  4322.323 2416.510 1176.682
402 1  440.357 61.605 244.736
403 1  1697.438 0.000 432.707
404 1  18.855 314.581 0.000
405 1  914.485 541.315 1619.262
406 1  1389.272 284.903 507.038
407 1  1920.649 762.258 1507.873
408 1  1134.731 427.562 854.608
409 1  661.514 1384.071 234.273
410 1  596.530 1114.869 857.117
411 1  342.174 3.461 237.979
412 1  1155.678 752.150 1229.024
413 1  72.007 864.746 569.088
414 1  555.456 854.460 637.543
415 1  120.288 103.183 315.127
416 1  95.241 195.278 383.342
417 1  140.668 376.263 2447.625
418 1  839.822 1092.037 1091.441
419 1  632.616 542.842 682.039
420 1  237.263 992.948 1056.476
421 1  600.250 283.321 875.447
422 1  701.402 1432.950 483.188
423 1  543.776 1008.789 864.452
424 1  1062.043 231.830 1164.456
425 1  1133.111 230.389 913.346
426 1  419.378 1121.136 1663.396
427 1  363.607 1064.443 0.000
428 1  963.389 677.436 126.785
429 1  667.912 672.240 760.522
430 1  291.895 42.944 791.773
431 1  611.832 741.916 436.921
432 1  4644.258 1280.967 3740.276
433 1  307.534 721.063 743.617
434 1  0.000 365.096 2181.390
435 1  274.841 637.556 1123.487
436 1  601.526 0.145 630.902
437 1  902.506 605.951 401.054
438 1  848.030 68.364 1167.580
439 1  379.557 164.372 800.250
440 1  3812.193 1369.144 1885.323
441 1  328.182 649.853 146.428
442 1  129.871 794.638 116.813
443 1  975.691 1445.438 591.668
444 1  355.698 1329.653 704.378
445 1  1378.288 781.040 123.447
446 1  152.258 464.227 1096.659
447 1  795.312 195.700 849.477
448 1  1667.317 506.913 869.228
449 1  849.629 311.235 258.712
450 1  260.074 1558.276 949.897
451 1  943.835 210.677 866.883
452 1  503.759 622.751 1059.547
453 1  1065.874 626.121 388.964
454 1  1086.173 264.278 527.427
455 1  306.826 209.215 213.202
456 1  107.963 448.823 1337.547
457 1  880.418 2360.912 1184.168
458 1  377.151 693.633 856.641
459 1  651.367 2301.008 2221.551
460 1  653.164 878.343 795.213
461 1  2222.932 514.520 715.443
462 1  306.656 318.331 431.965
463 1  1565.891 1256.514 408.705
464 1  3308.650 1137.092 1752.252
465 1  431.306 976.084 962.929
466 1  1947.318 49.803 1303.529
467 1  2495.537 552.748 758.146
468 1  494.740 421.228 962.892
469 1  1150.087 1538.804 379.534
470 1  1564.742 368.622 227.189
471 1  131.718 873.542 266.911
472 1  584.543 697.414 1127.010
473 1  1440.801 4130.559 1050.425
474 1  153.693 932.062 927.435
475 1  394.629 1152.458 492.527
476 1  593.600 207.646 739.205
477 1  230.349 0.000 1363.004
478 1  461.181 51.044 118.404
479 1  685.656 1249.934 673.649
480 1  1006.194 3064.207 2413.665
481 1  1650.274 4005.466 1851.790
482 1  1390.792 1738.728 1028.616
483 1  3145.963 2116.113 2415.547
484 1  380.998 1180.003 808.940
485 1  363.951 3685.147 459.455
486 1  673.696 176.488 1870.639
487 1  1470.580 267.027 1658.269
488 1  228.720 809.497 295.460
489 1  474.393 810.592 4126.469
490 1  1846.797 941.965 2714.761
491 1  714.200 520.646 274.792
492 1  2866.450 0.344 4111.828
493 1  2570.681 1597.677 1252.390
494 1  1544.666 709.996 0.004
495 1  387.329 820.670 1277.137
496 1  894.089 1006.647 633.771
497 1  2004.691 1017.030 399.035
498 1  761.173 681.924 631.991
499 1  0.000 54.305 3670.529
500 1  1529.117 871.479 162.810
501 2  3644.342 980.427 4999.393
502 2  202.318 0.183 890.738
503 2  6.596 468.669 79.337
504 2  4578.186 6.608 5.933
505 2  1462.757 964.355 0.000
506 2  3516.549 3109.818 0.747
507 2  4999.977 4862.623 1140.954
508 2  4999.995 833.286 2400.154
509 2  1736.793 4052.366 3048.609
510 2  107.800 2695.274 1716.732
511 2  2084.276 4998.098 3184.227
512 2  0.007 3438.428 316.260
513 2  0.000 3151.412 3916.049
514 2  2017.621 3869.847 3988.345
515 2  5000.000 0.000 1276.626
516 2  3354.040 4999.979 0.319
517 2  1786.962 799.833 609.683
518 2  983.548 4999.995 334.289
519 2  3674.109 4799.835 686.151
520 2  4997.368 4999.033 2348.512
521 2  1587.712 3474.378 2.040
522 2  0.000 1689.784 4487.347
523 2  0.000 1944.683 3622.828
524 2  1619.907 0.779 3780.821
